Price,Close,High,Low,Open,Volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,
2021-02-03,71.758544921875,72.48768764737996,71.37350030896272,71.4472302613013,2455634
2021-02-04,71.32433319091797,72.20093572811031,71.07856045877439,71.98793394366972,2315913
2021-02-05,72.6187744140625,72.8235881971009,71.97156210961067,72.2583001557803,2242933
2021-02-08,72.60237884521484,73.07754198504654,72.58599024531958,72.74984499217489,1820303
2021-02-09,71.61927032470703,72.67611002069654,71.30795567605429,72.40575437163466,1882826
2021-02-10,70.55423736572266,72.47948521598246,70.2674931376766,72.09443439584668,3228687
2021-02-11,71.31614685058594,71.43084204508494,69.84148542071398,70.40677334390145,2322335
2021-02-12,71.16868591308594,71.87324573106731,70.74266980199872,71.27518681564786,2235993
2021-02-15,70.93928527832031,71.43903131305646,70.7426658344564,71.35710706564812,2396310
2021-02-16,71.62291717529297,71.62291717529297,70.7725426157452,70.99764438293292,4133771
2021-02-17,70.26399230957031,71.47702314664184,70.06390678158668,71.19773537450104,2340499
2021-02-18,69.71375274658203,70.25565076497394,69.03012138925604,70.09725264355963,3373355
2021-02-19,68.78836822509766,69.67208535623845,68.07138801509842,69.28024659488936,4206236
2021-02-22,68.27979278564453,68.82169716501552,68.12972705536647,68.78834851821996,2071470
2021-02-23,69.43862915039062,69.53033633618195,68.02967907832759,68.31313938730177,2047232
2021-02-24,69.01345825195312,69.65540870489997,68.62161952156316,69.42196812889773,1709865
2021-02-25,69.78044891357422,70.16395519992163,69.46364628637905,69.63038317214398,2379912
2021-02-26,67.99633026123047,69.74709917785118,67.99633026123047,68.89672461367476,3900672
2021-03-01,70.12225341796875,70.14726330964417,68.18807668096309,68.27978385750845,2483224
2021-03-02,70.4390640258789,71.08934672612928,70.33902444775048,70.53910996461123,2100089
2021-03-03,71.19773864746094,71.19773864746094,70.23898564253393,70.23898564253393,2216522
2021-03-04,72.0147476196289,72.0147476196289,70.70584352862782,71.45617213252096,3528772
2021-03-05,72.0731201171875,72.36491922454356,71.3061202226972,72.03143907371151,3125494
2021-03-08,72.7984390258789,73.9155965779606,72.73174172353869,73.22362637754175,2592114
2021-03-09,73.27364349365234,74.19070910516722,73.09022909922844,73.74051187174618,2381197
2021-03-10,72.2982177734375,73.36534910637903,72.2982177734375,73.35701035392042,2059023
2021-03-11,72.0731201171875,73.26530736300376,71.50620576895449,73.21528756659065,2295069
2021-03-12,72.1064682006836,72.51498440352415,71.83968535423915,72.17316550244591,1436474
2021-03-15,72.03143310546875,72.52331135772215,71.4978674525886,72.12314029836418,1984298
2021-03-16,72.68172454833984,73.13192181446533,72.12314893245649,72.18983987659706,2770885
2021-03-17,72.62335968017578,73.2653036908534,72.03143546340421,72.47329393785309,2412813
2021-03-18,71.48953247070312,72.52748773924996,71.28944693047163,72.46495663501193,4351783
2021-03-19,70.62248992919922,71.52288444296987,70.36404582937067,71.28111148868304,9528922
2021-03-22,70.93094635009766,71.16438050577429,69.98469841991925,70.6141374011619,1718564
2021-03-23,70.67250061035156,71.16855140424694,70.19729351614838,70.21397102014379,1668194
2021-03-24,72.00643920898438,72.08980766815785,70.62249861640288,70.90595901031958,2100578
2021-03-25,72.14814758300781,72.51497634131172,71.52287475986473,71.85635487099519,2145117
2021-03-26,71.69795989990234,72.58167690513547,71.63960134975684,72.38159135615163,2506871
2021-03-29,71.3394546508789,72.19816157466255,71.25608621994328,71.83967159709618,1559267
2021-03-30,71.19773864746094,72.048106950936,70.9726368526027,71.41450168976029,1725824
